date,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,investmentsin_joint_venturesat_cost,investments_in_other_ventures_under_equity_method,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,finished_goods,raw_materials,receivables,other_receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401500000.0,,,,,172400000.0,20700000.0,,,,,,
2022-09-30,1147900000.0,1147900000.0,12225500000.0,23804800000.0,-12146000000.0,6337300000.0,-2133100000.0,-12146000000.0,8760900000.0,-8706600000.0,4413300000.0,-8698700000.0,7900000.0,-8706600000.0,-463200000.0,-463200000.0,-8449800000.0,205300000.0,1100000.0,1100000.0,36677100000.0,27525300000.0,610500000.0,6279700000.0,6279700000.0,20635100000.0,7515200000.0,13119900000.0,9151800000.0,1641900000.0,1641900000.0,3169700000.0,1245700000.0,1924000000.0,1924000000.0,232300000.0,4107900000.0,1724400000.0,2383500000.0,608300000.0,333800000.0,139200000.0,1441400000.0,27978400000.0,20959700000.0,554200000.0,1799700000.0,1799700000.0,590300000.0,279100000.0,279100000.0,311200000.0,283100000.0,28100000.0,3439400000.0,155900000.0,3283500000.0,14576100000.0,-9049300000.0,23625400000.0,9066800000.0,558700000.0,11872300000.0,1526100000.0,555400000.0,46100000.0,0.0,7018700000.0,483700000.0,386600000.0,2176600000.0,741200000.0,1435400000.0,1175500000.0,69400000.0,27700000.0,1175500000.0,-27200000.0,1202700000.0,3182900000.0,364500000.0,2818400000.0
2023-09-30,1142600000.0,1142600000.0,11848200000.0,24599800000.0,-11333600000.0,7404900000.0,-2041900000.0,-11333600000.0,9200100000.0,-7994800000.0,5552800000.0,-7987800000.0,7000000.0,-7994800000.0,-778200000.0,-778200000.0,-7255800000.0,38100000.0,1100000.0,1100000.0,37433300000.0,28088000000.0,513800000.0,6101800000.0,6101800000.0,21472400000.0,7924800000.0,13547600000.0,9345300000.0,1700200000.0,1700200000.0,3127400000.0,1275300000.0,1852100000.0,1852100000.0,233500000.0,4284200000.0,1686700000.0,2597500000.0,651200000.0,402000000.0,189300000.0,1544300000.0,29445500000.0,22142100000.0,546500000.0,1769800000.0,1769800000.0,687300000.0,247400000.0,247400000.0,439900000.0,415700000.0,24200000.0,3338800000.0,120500000.0,3218300000.0,15799700000.0,-9923100000.0,25722800000.0,10133700000.0,607500000.0,12604500000.0,1664500000.0,666500000.0,46100000.0,0.0,7303400000.0,359900000.0,,1806400000.0,644900000.0,1161500000.0,1184100000.0,,,1184100000.0,-23800000.0,1207900000.0,3953000000.0,401500000.0,3551500000.0
2024-09-30,1133500000.0,1133500000.0,12282200000.0,25803100000.0,-10865500000.0,8119500000.0,-2222600000.0,-10865500000.0,10234700000.0,-7448900000.0,6870600000.0,-7441600000.0,7300000.0,-7448900000.0,-428800000.0,-428800000.0,-7343800000.0,322600000.0,1100000.0,1100000.0,38780900000.0,29710900000.0,656200000.0,5963600000.0,5963600000.0,23091100000.0,8771600000.0,14319500000.0,9070000000.0,1781200000.0,1781200000.0,2712000000.0,1463100000.0,1248900000.0,1248900000.0,244300000.0,4332500000.0,1711100000.0,2621400000.0,691200000.0,334700000.0,123500000.0,1595500000.0,31339300000.0,24491900000.0,617000000.0,1766700000.0,1766700000.0,739900000.0,276000000.0,276000000.0,463900000.0,424100000.0,39800000.0,3416600000.0,100900000.0,3315700000.0,17951700000.0,-10775500000.0,28727200000.0,11453900000.0,750900000.0,13955500000.0,1825200000.0,684800000.0,56900000.0,0.0,6847400000.0,313100000.0,,1777300000.0,636500000.0,1140800000.0,1213800000.0,,,1213800000.0,-21200000.0,1235000000.0,3543200000.0,257000000.0,3286200000.0
2025-09-30,1136900000.0,1136900000.0,12855000000.0,26611500000.0,-11632300000.0,7978200000.0,-2828100000.0,-11632300000.0,10536700000.0,-8096600000.0,6479300000.0,-8089200000.0,7400000.0,-8096600000.0,-459300000.0,-459300000.0,-8272500000.0,634100000.0,1100000.0,1100000.0,40108900000.0,29898500000.0,577800000.0,5772600000.0,5772600000.0,23548100000.0,8972200000.0,14575900000.0,10210400000.0,1840600000.0,1840600000.0,3063400000.0,1564500000.0,1498900000.0,1498900000.0,282300000.0,5024100000.0,2080400000.0,2943700000.0,704800000.0,386100000.0,150300000.0,1852800000.0,32019700000.0,24637400000.0,752500000.0,1826900000.0,1826900000.0,713100000.0,246900000.0,246900000.0,466200000.0,418900000.0,47300000.0,3535700000.0,166800000.0,3368900000.0,17809200000.0,-11349200000.0,29158400000.0,11762400000.0,334300000.0,14261500000.0,2071600000.0,673700000.0,54900000.0,0.0,7382300000.0,452200000.0,,2185600000.0,741700000.0,1443900000.0,1277500000.0,,,1277500000.0,-24000000.0,1301500000.0,3467000000.0,247200000.0,3219800000.0
