date,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,current_notes_payable,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,finished_goods,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,9413000000.0,2955000000.0,2955000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,2921000000.0,2921000000.0,,,,,,,,,,,,,,,,1498000000.0,,,,,,,,,,,
2022-05-31,1571000000.0,1571000000.0,856000000.0,12627000000.0,14711000000.0,24711000000.0,17483000000.0,14711000000.0,3197000000.0,15281000000.0,24201000000.0,15281000000.0,15281000000.0,318000000.0,318000000.0,3476000000.0,11484000000.0,3000000.0,3000000.0,25040000000.0,14310000000.0,2613000000.0,0.0,,2613000000.0,2613000000.0,11697000000.0,2777000000.0,8920000000.0,10730000000.0,930000000.0,420000000.0,510000000.0,500000000.0,,10000000.0,1793000000.0,1412000000.0,6595000000.0,2530000000.0,4065000000.0,485000000.0,222000000.0,222000000.0,3358000000.0,40321000000.0,12108000000.0,3821000000.0,3821000000.0,3821000000.0,570000000.0,286000000.0,284000000.0,7717000000.0,-5306000000.0,13023000000.0,1712000000.0,399000000.0,2926000000.0,4486000000.0,3170000000.0,330000000.0,0.0,28213000000.0,2129000000.0,2129000000.0,8420000000.0,8420000000.0,4667000000.0,4667000000.0,-34000000.0,4701000000.0,12997000000.0,4423000000.0,8574000000.0,7735000000.0,839000000.0
2023-05-31,1532000000.0,1532000000.0,1492000000.0,12144000000.0,13449000000.0,22937000000.0,15946000000.0,13449000000.0,3211000000.0,14004000000.0,22931000000.0,14004000000.0,14004000000.0,231000000.0,231000000.0,1358000000.0,12412000000.0,3000000.0,3000000.0,23527000000.0,14271000000.0,2558000000.0,0.0,,,,11713000000.0,2786000000.0,8927000000.0,9256000000.0,431000000.0,425000000.0,6000000.0,,,6000000.0,2289000000.0,994000000.0,5542000000.0,1911000000.0,3631000000.0,529000000.0,240000000.0,240000000.0,2862000000.0,37531000000.0,12329000000.0,3770000000.0,,,555000000.0,274000000.0,281000000.0,8004000000.0,-5634000000.0,13638000000.0,1876000000.0,525000000.0,2923000000.0,4695000000.0,3293000000.0,326000000.0,0.0,25202000000.0,1942000000.0,,8454000000.0,8454000000.0,4131000000.0,4131000000.0,-35000000.0,4166000000.0,10675000000.0,3234000000.0,7441000000.0,5674000000.0,1767000000.0
2024-05-31,1503000000.0,1503000000.0,,11952000000.0,13931000000.0,23339000000.0,14789000000.0,13931000000.0,3043000000.0,14430000000.0,22333000000.0,14430000000.0,14430000000.0,53000000.0,53000000.0,965000000.0,13409000000.0,3000000.0,3000000.0,23680000000.0,13087000000.0,2618000000.0,0.0,,,,10469000000.0,2566000000.0,7903000000.0,10593000000.0,1483000000.0,477000000.0,1006000000.0,1000000000.0,,6000000.0,1869000000.0,1282000000.0,5959000000.0,2011000000.0,3948000000.0,563000000.0,534000000.0,534000000.0,2851000000.0,38110000000.0,12728000000.0,4511000000.0,,,499000000.0,259000000.0,240000000.0,7718000000.0,-5914000000.0,13632000000.0,2023000000.0,193000000.0,2718000000.0,4930000000.0,3439000000.0,329000000.0,0.0,25382000000.0,1854000000.0,,7519000000.0,7519000000.0,4427000000.0,4427000000.0,-35000000.0,4462000000.0,11582000000.0,1722000000.0,9860000000.0,8638000000.0,1222000000.0
2025-05-31,1476000000.0,1476000000.0,502000000.0,11018000000.0,12714000000.0,21179000000.0,12796000000.0,12714000000.0,3052000000.0,13213000000.0,21174000000.0,13213000000.0,13213000000.0,-258000000.0,-258000000.0,-727000000.0,14195000000.0,3000000.0,3000000.0,23366000000.0,12800000000.0,2289000000.0,0.0,,,,10511000000.0,2550000000.0,7961000000.0,10566000000.0,507000000.0,502000000.0,5000000.0,,,5000000.0,1726000000.0,1834000000.0,6499000000.0,1753000000.0,4746000000.0,598000000.0,669000000.0,669000000.0,3479000000.0,36579000000.0,13217000000.0,5178000000.0,,,499000000.0,259000000.0,240000000.0,7540000000.0,-6104000000.0,13644000000.0,2037000000.0,404000000.0,2712000000.0,4647000000.0,3510000000.0,334000000.0,0.0,23362000000.0,2005000000.0,,7489000000.0,7489000000.0,4717000000.0,4717000000.0,-27000000.0,4744000000.0,9151000000.0,1687000000.0,7464000000.0,6243000000.0,1221000000.0
