Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-01-25 00:00:00-05:00,103.75,103.94999694824219,102.16999816894531,103.44999694824219,92.43348693847656,5009000,0.0,0.0
2021-01-26 00:00:00-05:00,103.4000015258789,105.20999908447266,103.23999786376953,104.69000244140625,93.54143524169922,7195300,0.0,0.0
2021-01-27 00:00:00-05:00,101.4800033569336,101.77999877929688,96.7300033569336,97.87000274658203,87.44770050048828,18139500,0.0,0.0
2021-01-28 00:00:00-05:00,98.94000244140625,100.52999877929688,98.0999984741211,98.1500015258789,87.69789123535156,8868200,0.0,0.0
2021-01-29 00:00:00-05:00,97.38999938964844,97.79000091552734,95.91999816894531,96.80999755859375,86.50057983398438,8203000,0.0,0.0
2021-02-01 00:00:00-05:00,96.98999786376953,99.62000274658203,96.91999816894531,98.58000183105469,88.08209228515625,7206300,0.0,0.0
2021-02-02 00:00:00-05:00,99.05000305175781,102.4800033569336,98.77999877929688,101.6500015258789,90.8251724243164,6917700,0.0,0.0
2021-02-03 00:00:00-05:00,101.25,102.6500015258789,100.80999755859375,101.0199966430664,90.26226806640625,3934800,0.0,0.0
2021-02-04 00:00:00-05:00,101.36000061035156,104.23999786376953,101.11000061035156,103.63999938964844,92.6032485961914,6926800,0.0,0.0
2021-02-05 00:00:00-05:00,105.08999633789062,107.54000091552734,104.77999877929688,106.4800033569336,95.14082336425781,8072100,0.0,0.0
2021-02-08 00:00:00-05:00,106.41999816894531,106.52999877929688,105.33999633789062,106.26000213623047,94.94425201416016,4836600,0.0,0.0
2021-02-09 00:00:00-05:00,106.0,106.83000183105469,105.22000122070312,106.22000122070312,94.90850067138672,4095200,0.0,0.0
2021-02-10 00:00:00-05:00,106.77999877929688,106.9000015258789,104.93000030517578,105.87000274658203,94.59577178955078,4293200,0.0,0.0
2021-02-11 00:00:00-05:00,106.12000274658203,106.2300033569336,105.02999877929688,105.86000061035156,94.58683776855469,2976000,0.0,0.0
2021-02-12 00:00:00-05:00,105.73999786376953,105.94000244140625,104.72000122070312,105.30000305175781,94.08647918701172,3169800,0.0,0.0
2021-02-16 00:00:00-05:00,104.87999725341797,106.58999633789062,104.69999694824219,106.1500015258789,94.845947265625,4928100,0.0,0.0
2021-02-17 00:00:00-05:00,105.11000061035156,105.45999908447266,104.1500015258789,104.44000244140625,93.71533966064453,5733800,0.45,0.0
2021-02-18 00:00:00-05:00,103.77999877929688,105.33999633789062,103.41000366210938,104.97000122070312,94.19091033935547,4098700,0.0,0.0
2021-02-19 00:00:00-05:00,104.75,105.27999877929688,103.22000122070312,103.37000274658203,92.7552261352539,4128900,0.0,0.0
2021-02-22 00:00:00-05:00,102.98999786376953,102.98999786376953,101.75,101.80999755859375,91.35540771484375,5211800,0.0,0.0
2021-02-23 00:00:00-05:00,103.33999633789062,103.33999633789062,99.93000030517578,101.37000274658203,90.9605941772461,8740300,0.0,0.0
2021-02-24 00:00:00-05:00,101.16000366210938,104.51000213623047,100.5999984741211,104.37999725341797,93.6614990234375,7542700,0.0,0.0
2021-02-25 00:00:00-05:00,104.0,105.7699966430664,103.11000061035156,103.47000122070312,92.84496307373047,7534000,0.0,0.0
2021-02-26 00:00:00-05:00,104.1500015258789,109.4800033569336,103.68000030517578,108.02999877929688,96.93669891357422,15122900,0.0,0.0
2021-03-01 00:00:00-05:00,108.5999984741211,110.47000122070312,106.54000091552734,106.87000274658203,95.89580535888672,7930300,0.0,0.0
2021-03-02 00:00:00-05:00,107.30999755859375,108.25,105.81999969482422,107.19999694824219,96.19192504882812,5016800,0.0,0.0
2021-03-03 00:00:00-05:00,106.94000244140625,107.95999908447266,106.12000274658203,106.22000122070312,95.31256103515625,5313400,0.0,0.0
2021-03-04 00:00:00-05:00,106.26000213623047,107.16999816894531,103.8499984741211,104.88999938964844,94.11913299560547,7211800,0.0,0.0
2021-03-05 00:00:00-05:00,106.05999755859375,106.05999755859375,102.75,105.19999694824219,94.39730072021484,5559900,0.0,0.0
2021-03-08 00:00:00-05:00,104.80000305175781,106.88999938964844,104.2300033569336,105.02999877929688,94.2447509765625,5119500,0.0,0.0
2021-03-09 00:00:00-05:00,106.27999877929688,107.97000122070312,105.83000183105469,106.55000305175781,95.60868072509766,5510900,0.0,0.0
2021-03-10 00:00:00-05:00,107.22000122070312,109.06999969482422,106.95999908447266,107.77999877929688,96.71235656738281,6077000,0.0,0.0
2021-03-11 00:00:00-05:00,108.41000366210938,108.56999969482422,107.26000213623047,107.31999969482422,96.29961395263672,4670700,0.0,0.0
